date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Mateusz Rebecki,Myktybek Orolbai,Decision - Split,900,3,1,0,71,61,146,135,93,85,174,162,3,2,4,5,0,0,0,1,144,125
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Geoff Neal,Rafael Dos Anjos,KO/TKO,90,3,1,0,18,4,30,13,21,4,34,13,1,0,1,0,0,0,0,0,27,0
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Magomed Ankalaev,Aleksandar Rakic,Decision - Unanimous,900,3,0,0,55,53,114,117,75,59,142,123,0,0,0,1,0,0,0,0,91,60
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,Robert Whittaker,Khamzat Chimaev,Submission,214,5,0,0,2,3,2,4,2,25,2,31,0,2,0,4,0,1,0,0,0,200
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Ibo Aslan,Rafael Cerqueira,KO/TKO,51,3,0,0,28,1,36,1,28,1,36,1,0,0,0,0,0,0,0,0,0,0
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,Nora Cornolle,Jacqueline Cavalcanti,Decision - Split,900,3,0,0,54,54,114,154,80,87,156,194,1,0,9,0,0,0,0,1,236,69
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Ailin Perez,Daria Zhelezniakova,Submission,232,3,0,0,7,5,12,12,22,12,27,21,2,1,4,1,1,0,0,0,102,39
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Ilia Topuria,Max Holloway,KO/TKO,694,5,1,0,75,79,144,204,78,84,147,209,2,0,2,0,0,0,0,0,45,0
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Oumar Sy,Da Woon Jung,Decision - Unanimous,900,3,0,0,90,29,150,117,97,36,160,124,2,0,7,1,0,0,0,1,182,9
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Lerone Murphy,Dan Ige,Decision - Unanimous,900,3,0,1,52,46,100,106,78,52,133,116,3,1,5,3,0,0,0,2,137,287
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,Bolaji Oki,Chris Duncan,Submission,214,3,0,0,28,10,50,25,29,12,51,29,2,0,3,1,0,1,0,0,71,0
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Daniel Barez,Victor Altamirano,Decision - Unanimous,900,3,1,0,67,71,130,177,78,76,142,184,0,0,0,1,0,0,0,0,69,0
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Fares Ziam,Matt Frevola,KO/TKO,779,3,1,0,58,16,94,59,69,25,107,72,4,1,4,3,1,1,1,1,283,167
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Ludovit Klein,Roosevelt Roberts,Decision - Unanimous,900,3,0,0,45,24,95,60,107,58,181,104,2,0,3,3,0,0,0,0,531,43
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,Kevin Jousset,Bryan Battle,KO/TKO,527,3,0,0,58,97,97,170,63,118,107,194,0,0,2,3,0,0,0,0,12,211
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Morgan Charriere,Gabriel Miranda,KO/TKO,327,3,1,0,19,11,28,38,28,17,37,45,2,1,2,4,0,0,1,0,132,67
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Taylor Lapilus,Vince Morales,Decision - Unanimous,900,3,0,0,94,39,202,141,99,49,208,154,0,2,1,6,0,0,0,0,10,182
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Renato Moicano,Benoit Saint Denis,TKO - Doctor's Stoppage,600,5,0,0,50,25,72,60,72,35,98,70,1,0,3,0,0,0,0,0,293,5
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Julia Polastri,Cory McKenna,Decision - Split,900,3,0,0,88,40,145,124,142,98,203,198,0,1,1,6,0,0,0,0,193,320
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Ion Cutelaba,Ivan Erslan,Decision - Split,900,3,0,0,45,39,120,69,80,63,161,101,3,1,12,2,0,0,0,1,119,319
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,Nassourdine Imavov,Brendan Allen,Decision - Unanimous,900,3,0,0,57,30,86,52,79,56,114,82,0,1,0,10,0,0,0,0,347,366
"September 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,William Gomis,Joanderson Brito,Decision - Split,900,3,0,0,43,29,71,67,69,57,101,105,0,3,3,6,0,2,1,0,232,400
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Junior Tafa,Sean Sharaf,KO/TKO,435,3,0,0,71,53,128,118,71,54,128,122,0,1,0,8,0,0,0,0,2,46
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Clayton Carpenter,Lucas Rocha,Submission,432,3,0,0,34,17,60,41,36,21,62,45,2,0,3,0,1,0,0,0,278,0
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Themba Gorimbo,Niko Price,Decision - Unanimous,900,3,0,0,68,16,127,53,141,58,223,100,7,0,9,3,2,1,0,0,554,60
